"nom";"prenom";"pseudonyme"
"ARAGON";"Louis";"B. d’Ambérieux"
"ARAGON";"Louis";"Blaise d’Ambérieux"
"ARAGON";"Louis";"Pierre Cèpe"
"AURIER";"Gabriel-Albert";"Albert Aurier"
"AURIER";"Gabriel-Albert";"Albert d’Escorailles"
"AURIER";"Gabriel-Albert";"G. A. A."
"AURIER";"Gabriel-Albert";"G. alb. A."
"AURIER";"Gabriel-Albert";"G. Albert Aurier"
"AURIER";"Gabriel-Albert";"G. Albert-Aurier"
"AURIER";"Gabriel-Albert";"G.-A. A."
"AURIER";"Gabriel-Albert";"G.-A. Aurier"
"AURIER";"Gabriel-Albert";"G.-Albert Aurier"
"AURIER";"Gabriel-Albert";"G.-Albert-Aurier"
"AURIER";"Gabriel-Albert";"L'Imagier"
"AURIER";"Gabriel-Albert";"L’Imagier"
"AURIER";"Gabriel-Albert";"Luc le Flâneur"
"AURIER";"Gabriel-Albert";"Marc d’Escaurailles"
"BAUDELAIRE";"Charles";"Baudelaire Dufaÿs"
"BAUDELAIRE";"Charles";"Baudelaire-Dufays"
"BAUDELAIRE";"Charles";"Ch. B."
"BESSON";"George";"Le Flâneur"
"BLANCHE";"Jacques-Emile";"JAIME DE BESLOU"
"CANUDO";"Ricciotto";"Adrien d’Apulie"
"CANUDO";"Ricciotto";"C. Capitaine des Zouave de l’A. O."
"CANUDO";"Ricciotto";"Capitaine C. aux Zouaves de l’A. O."
"CANUDO";"Ricciotto";"Capitaine C. des Zouaves de l’A. O. (1er R. M. A.)"
"CANUDO";"Ricciotto";"Capitaine Canudo"
"CANUDO";"Ricciotto";"Capitaine Canudo de l’Armée d’Orient"
"CANUDO";"Ricciotto";"Capitaine Oudanc"
"CANUDO";"Ricciotto";"Christian de Odunac"
"CANUDO";"Ricciotto";"K. O. E."
"CANUDO";"Ricciotto";"K. O. Edina"
"CANUDO";"Ricciotto";"Kàrola Edina"
"CANUDO";"Ricciotto";"Kàrola Olga Edina"
"CANUDO";"Ricciotto";"L’Europe Artiste"
"CANUDO";"Ricciotto";"L’Informateur, le Juste, le Simple, Anon"
"CANUDO";"Ricciotto";"La Direction"
"CANUDO";"Ricciotto";"La Gazette des sept arts"
"CANUDO";"Ricciotto";"La Plume"
"CANUDO";"Ricciotto";"La rédaction"
"CANUDO";"Ricciotto";"Montjoie"
"CANUDO";"Ricciotto";"Olga"
"CANUDO";"Ricciotto";"R. E. C. S."
"CANUDO";"Ricciotto";"Ricciotto Emilio Canudo Stampacchia"
"CANUDO";"Ricciotto";"V. L."
"CANUDO";"Ricciotto";"Vincent Lariot"
"CARNÉ";"Marcel";"Albert Crance"
"CARNÉ";"Marcel";"L’habitué du vendredi"
"CARNÉ";"Marcel";"M.-A. C."
"CARNÉ";"Marcel";"M.-A. Crance"
"CARNÉ";"Marcel";"Marcel-Albert Crance"
"CARNÉ";"Marcel";"Michel Sanvoisin "
"CASTAGNARY";"Jules-Antoine";"C."
"CASTAGNARY";"Jules-Antoine";"Y."
"CHAMPFLEURY";"NULL";"Ae."
"CHAMPFLEURY";"NULL";"Bixiou"
"CHAMPFLEURY";"NULL";"Bloomfield"
"CHAMPFLEURY";"NULL";"C...Y"
"CHAMPFLEURY";"NULL";"Cabrion"
"CHAMPFLEURY";"NULL";"Fréjack"
"CHAMPFLEURY";"NULL";"J. Fleury"
"CHAMPFLEURY";"NULL";"Josquin"
"CHAMPFLEURY";"NULL";"Jules Fl. Y"
"CHAMPFLEURY";"NULL";"Molinchart"
"CHAMPFLEURY";"NULL";"Nie-Noll"
"CHAMPFLEURY";"NULL";"Oe."
"CHAMPFLEURY";"NULL";"Un civilisé"
"CHAMPFLEURY";"NULL";"Y."
"CHERONNET";"Louis";"Jean-Loup Falbet"
