"Les Nouvelles littéraires, artistiques et scientifiques",,1922-1936
Le Crapouillot,,1923-1936
L'Art vivant,,1926-1939
Art et décoration,,1929-1949
Marianne,,1933-1939
L'Intransigeant,Les Arts,1935-1937
Vendredi,,1935-1937
Ciné-Liberté,,"1936, membre du comité de rédaction"
Beaux-arts,Au cinéma,1936-1939
Ce soir,La vie plus belle,1937-1938
L'Humanité,Cinéma,1937-1939
Aujourd’hui,,1941-1942
Beaux-arts,Le Théâtre,1941-1944
Elites françaises,,"1945-juillet/août 1947, membre du comité de rédaction"
Cavalcade,Les arts,1946
