APOLLINAIRE Guillaume,,,"Chroniques d’art, 1902-1918",Textes réunis avec préface et notes par LeRoy C. Breunig,"Paris, Gallimard, coll. « Folio essais »",1993,,Ouvrage,
APOLLINAIRE Guillaume,,,"Correspondance avec les artistes, 1903-1918",Edition établie par Laurence Campa et Peter Read,"Paris, Gallimard",2009,,Ouvrage,
,,,Apollinaire. Le regard du poète,"(cat. exp. Paris, Musée de l’Orangerie, 6 avril-18 juillet 2016)","Paris, Gallimard",2016,,Ouvrage,
CAMPA Laurence,,,Guillaume Apollinaire,,"Paris, Gallimard",2013,,Ouvrage,
DES CARS Laurence,"Picasso/Apollinaire [intervention filmée lors du colloque ""Revoir Picasso"", Musée national Picasso-Paris, 25-28 mars 2015]",,,,Musée national Picasso-Paris,,,Article,http://revoirpicasso.fr/picassoapollinaire-%E2%80%A2-l-des-cars/
"ERNST Anja, GEYER Paul (dir.)",,,La Place d’Apollinaire,"actes du colloque « Apollinaire dans l’histoire littéraire et artistique européenne », Université de Bonn, 24-26 juin 2009","Paris, Classiques Garnier",2014,,Ouvrage,
,,,Europe,"numéro spécial Guillaume Apollinaire, n° 1043",,mars 2016,,Ouvrage,
GILLE Vincent,APOLLINAIRE Guillaume,in Claude Schvalberg (dir.),Dictionnaire de la critique d’art à Paris 1890-1969,,"Rennes, Presses universitaires de Rennes",2014,p. 43-45,Article,
"GILLE Vincent, RIOTTO EL-HABIB Béatrice (dir.)",,,Apollinaire critique d’art,"(cat. exp. Paris, Pavillon des Arts, 4 février-9 mai 1993)","Paris, Paris-Musées, Gallimard",1993,,Ouvrage,
,,,Les Cahiers du Musée national d’art moderne,"numéro spécial Guillaume Apollinaire, n° 6",,1981,,Ouvrage,
READ Peter,,,"Picasso et Apollinaire, les métamorphoses de la mémoire, 1905-1973",,"Paris, Jean-Michel Place",1997,,Ouvrage,
,,,Revoir Picasso,"Actes du colloque international organisé par le Musée national Picasso-Paris, 25-28 mars 2015, site web du colloque",,,,Ouvrage,http://revoirpicasso.fr/
