CHAGNIOT Claire,,,Baudelaire et l’estampe,,"Paris, Presses de l’Université Paris-Sorbonne, coll. « Lettres françaises »",2016,,Ouvrage
DROST Wolfgang,"""Vous n’êtes que le premier dans la décrépitude de votre art"". Baudelaire et Gautier, Zola et Mallarmé devant la modernité de Manet",,Romanistische Zeitschrift für Literaturgeschichte,"année XXXVIII, n° 1-2",,2014,p. 93-114,Article
DROST Wolfgang,L’image immaculée de Baudelaire champion de la modernité,,Romanistische Zeitschrift für Literaturgeschichte,"année XXXIX, n° 3-4",,2015,p. 357-365,Article
DUBREUIL-BLONDIN Nicole,Charles Baudelaire (1821-1867),,La Promenade du critique influent. Anthologie de la critique d’art en France 1850-1900,"Textes réunis et présentés par Jean-Paul Bouillon, Nicole Dubreuil-Blondin, Antoinette Ehrard et Constance Naubert-Riser, Paris, Hazan, 1990, p. 113-115 ; nouvelle édition revue, corrigée et mise à jour par Jean-Paul Bouillon et Catherine Méneux","Paris, Hazan",2010,p. 112-114,Article
GUYAUX André,"Baudelaire, philosophe de l’histoire de l’architecture",,"Die Kunst des Dialogs. Sprache, Literatur, Kunst im 19. Jahrhundert. Festschrift für Wolfgang Drost zum 80. Geburtstag",,Heidelberg,hiver 2010,p. 393-398,Article
HANNOOSH Michele,,,Baudelaire and Caricature. From the Comic to an Art of Modernity,,"University Park (Pennsylvania), The Pennsylvania State University Press",1992,,Ouvrage
LAFORGUE Pierre,,,"Ut pictura poesis. Baudelaire, la peinture et le romantisme",,"Lyon, Presses universitaires de Lyon",2000,,Ouvrage
LE PICHON Yann et PICHOIS Claude,,,Le Musée retrouvé de Charles Baudelaire,,"Paris, Stock",1992,,Ouvrage
LIGO Larry Leroy,,,"Manet, Baudelaire and Photography",,"Lewiston (New York), Edwin Mellen",2006,,Ouvrage
MOSS Armand,,,Baudelaire et Delacroix,,"Paris, Nizet",1973,,Ouvrage
SCHELLINO Andrea,"""Je suis un des premiers qui l’ont compris"". Sur la prétendue ""rencontre manquée"" de Baudelaire et Manet",,Romanistische Zeitschrift für Literaturgeschichte,"année XXXIX, n° 3-4",,2015,p. 347-355,Article
WESTERWELLE Karin (éd.),,,Charles Baudelaire. Dichter und Kunstkritiker,,"Würzburg, Königshausen & Neumann",2007,,Ouvrage
