"nom";"ville"
"A. Rey";"Lyon"
"C.Poussereau";"Paris"
"Félix Rey";"Dijon"
"Bibliothèque de La Vie moderne";"Paris"
"Albert Morancé";"Paris"
"Terrasse des Tuileries";"Paris"
"Galerie Schmit";"Paris"
"Musée Toulouse-Lautrec";"Albi"
"David et Garnier";"Paris"
"G. Crès";"Paris"
"Stock";"Paris"
"Henri Laurens";"Paris"
"H. Laurens";"Paris"
"Emile Dentu";"Paris"
"Dorbon aîné";"Paris"
"Librairie Cournol";"Paris"
"E. Girard";"Paris"
"Editions de la Sirène";"Paris"
"Librairie Stock, Delamain et Boutelleau";"Paris"
"F. Rieder et Cie";"Paris"
"éd. du Sagittaire chez Simon Kra";"Paris"
"Gazette des Beaux-Arts";"Paris"
"Librairie Ch. Delagrave";"Paris"
"Librairie de l’Art, J. Rouam";"Paris"
"Librairies-imprimeries réunies";"Paris"
"printing A. Hennuyer";"Paris"
"Société de propagation des livres d’art";"Paris"
"imp. de C. Herissey";"Évreux"
"Eugène Fasquelle éditeur";"Paris"
"Calmann-Lévy";"Paris"
"Flammarion";"Paris"
"Emile-Paul Frères";"Paris"
"Pierre Laffite";"Paris"
"Les Editions de France";"Paris"
"Denoël et Steel";"Paris"
"Imprimerie de la Vigie";"Dieppe"
"Poulet-Malassis";"Alençon"
"Alphonse Lemerre";"Paris"
"Imprimerie Bellenand";"Paris"
"La Maison des poètes";"Paris"
"Albin Michel";"Paris"
"Plon";"Paris"
"Firmin-Didot";"Paris"
"Imprimerie de Wittersheim";"Paris"
"Henri Loones";"Paris"
"Aux bureaux de \L’Artiste\""""";"Paris"
"Librairie des auteurs modernes";"Paris"
"Monnier";"Paris"
"A. Laurent";"Paris"
"Librairie de la Presse";"Paris"
"Edinger";"Paris"
"Dalou";"Paris"
"Dentu";"Paris"
"Chamuel";"Paris"
"Ollendorf";"Paris"
"Chez l'Auteur";"Paris"
"Imprimerie professionnelle";"Beauvais"
"H. May";"Paris"
"Librairie de l'art ancien et moderne";"Paris"
"Librairie centrale des Beaux-Arts";"Paris"
"Delagrave";"Paris"
"Éd. Sansot";"Paris"
"L’Imprimerie moderne";"Montrouge"
"Galerie de Paris";"Paris"
"J. et G. Bernheim-Jeune";"Paris"
"Galerie Brunner";"Paris"
"Galerie Simon";"Paris"
"Editions de la Connaissance";"Bruxelles"
"Institut of Contemporary Arts";"Londres"
"J. P. Ollivier";"Paris"
"L'Archipel";"Paris"
;"Dijon"
"L. Vanier";"Paris"
"A. Savine";"Paris"
"Société du Mercure de France";"Paris"
"A. Lemerre";"Paris"
"Charpentier";"Paris"
"Le Club français du livre";"Paris"
"Galerie Louise-Leiris";"Paris"
"Guilde internationale de l'art";"Paris"
"galerie Pierre-Matisse";"New York"
"Daniel Cordier";"Paris"
"Le Cercle du bibliophile";"Paris"
"Botteghe oscure";"Rome"
"Städtisches Museum";"Leverkusen"
"Armand Salacrou";"Rouen"
"Jean-Jacques Pauvert";"Paris"
"Casterman";"Paris"
"The Art Council";"Londres"
"Musée Alexis-Forel";"Morges"
"Gallimard";"Paris"
"Château-Musée";"Dieppe"
"CNAC";"Paris"
"Fontaine";"Paris"
"Braun & Cie";"Paris"
"éd. Pierre Matisse";"New York"
"Galerie Creuzevault";"Paris"
"éd. Verve";"Paris"
"Harcourt, Brace and World";"New York"
"Georges-Fall";"Paris"
"éditions de la Nouvelle Revue Française";"Paris"
"Librairie de « L’Humanité »";"Paris"
"P.-M. Delesalle";"Paris"
"Payot & Cie";"Paris"
"Le Goupy";"Paris"
"éditions de « L’Art et les Artistes »";"Paris"
"Crès";"Paris"
"C. Dalou";"Paris"
"Au secrétariat 2 rue de Commaille";"Paris"
"Chacornac";"Paris"
"Mercure de France";"Paris"
"Per Lamm";"Paris"
"Sansot";"Paris"
"Plon-Nourrit";"Paris"
"Imprimerie Cagniard";"Rouen"
"Fratelli Treves";"Milan"
"Alcan";"Paris"
"Messein";"Paris"
"Manzi-Joyant";"Paris"
"Fontemoing";"Paris"
"Programme du théâtre du Châtelet";"Paris"
"Boulet et Piedefer";"Paris"
"De Boccard";"Paris"
"Eugène Figuière & Cie";"Paris"
"impr. L’Union";"Paris"
"Baillière";"Paris"
"Lemerre";"Paris"
"Librairie de l’œuvre d’art";"Paris"
"Albert Messein";"Paris"
"impr. de C. Berger";"Paris"
"Deplanche";"Paris"
"Éd. Fasquelle";"Paris"
"Éd. F. Alcan";"Paris"
"Éd. Delagrave";"Paris"
"Éd. Van Oest";"Bruxelles"
"Perrin et Cie";"Paris"
"Les Éditions de la Sirène";"Paris"
"Éditions du Monde Nouveau";"Paris"
"Éditions de France";"Paris"
"J. Ferenczi et fils";"Paris"
"Éd. Rasmussen";"Paris"
"Éd. « Au Lys rouge »";"Paris"
"Éd. A. Delpeuch";"Paris"
"Éd. J. Ferenczi et fils";"Paris"
"Les Œuvres représentatives";"Paris"
"J. Peyronnet et Cie";"Paris"
"Alexis Rédier";"Paris"
"Société d’Éditions géographiques, maritimes et coloniales";"Paris"
"Éditions Louis Godefroy";"Paris"
"J. Crès";"Paris"
"Denoël";"Paris"
"La Dépêche coloniale et maritime";"Paris"
"Librairie Mane";"Tours"
"Éd. Tallandier";"Paris"
"Éd. Alsatia";"Paris"
"Imprimerie Rebuffé";"Fougères"
"Office colonial d’Édition";"Paris"
"Éd. Colbert";"Paris"
"Éd. Mane";"Tours"
"Éditions de la « Revue »";"Paris"
"Éd. Perrin";"Paris"
"Société des médecins bibliophiles";"Paris"
"Librairie Larousse";"Paris"
"les Cahiers de France";"Poitiers"
"Larose";"Paris"
"J. Peyronnet";"Paris"
"J. Renard";"Paris"
"La Nouvelle Édition";"Paris"
"Imprimeries de Chaix";"Paris"
"Grasset";"Paris"
"Au Sans Pareil, René Hilsum et Cie, éditeurs";"Paris"
"éditions Duchartre";"Paris"
"Éditions Tel";"Paris"
"Editions du Cerf";"Paris"
"Art et industrie";"Paris"
"Etablissements Jacquemaire";"Villefranche"
"pecatnica Georgi Kirkov";"Sofija"
"M. Bruker";"Paris"
"Librairie de la curiosité et Beaux-arts";"Paris"
"Paul Montel";"Paris"
"Impr. Lecram";"Paris"
"Arts et métiers graphiques";"Paris"
"Galerie Paul Guillaume";"Paris"
"M. Johansen";"Kristiania"
"M. de Brunoff";"Paris"
"A. Quillet";"Paris"
"Perrin";"Paris"
"Lethielleux";"Paris"
"Hachette";"Paris"
"Publications de \La Vogue\""""";"Paris"
"Nelson";"Paris"
"Librairie illustrée";"Paris"
"J. Rouam et Cie, Bibliothèque de la Gazette des Beaux-Arts";"Paris"
"Testard";"Paris"
"Publications de « La Vogue »";"Paris"
"impr. de Gerdès";"Paris"
"F. Sartorius";"Paris"
"Martinon";"Paris"
"Dechaume";"Paris"
"E. Fleury";"Laon"
"J. Juteau";"Paris"
"M. Lévy Frères";"Paris"
"V. Lecou";"Paris"
